?property	?contributor	?type	?count
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0001-9114-8737>	"XREF"	10
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-2972-5481>	"XREF"	21
<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	<https://orcid.org/0000-0001-5889-4463>	"XREF"	787
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-0736-9199>	"CREATOR"	877
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-0736-9199>	"XREF"	6280
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-1111-7357>	"CREATOR"	56
<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	<https://orcid.org/0000-0002-8169-9049>	"XREF"	2
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0001-8612-1062>	"XREF"	5
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-4487-3589>	"CREATOR"	39
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:Eurenomics_eweuehl"	"XREF"	1
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0001-8612-1062>	"CREATOR"	11
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-4381-2442>	"XREF"	5
<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	<https://orcid.org/0000-0001-9112-5148>	"XREF"	12
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0009-0007-1020-5412>	"CREATOR"	21
<http://purl.org/dc/terms/creator>	<https://orcid.org/0000-0001-7941-2961>	"CREATOR"	220
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-9338-3017>	"XREF"	107
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0001-8430-6039>	"CREATOR"	117
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0003-1773-4011>	"XREF"	24
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0003-2598-6622>	"CREATOR"	44
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-9553-7227>	"XREF"	3
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:RGD_gth"	"XREF"	2
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-1735-8178>	"XREF"	59
<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	<https://orcid.org/0000-0001-5889-4462>	"XREF"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-7653-4653>	"XREF"	1
<http://www.w3.org/2000/01/rdf-schema#comment>	<https://orcid.org/0000-0002-7440-8864>	"XREF"	1
<http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym>	<https://orcid.org/0000-0001-5208-3432>	"XREF"	3
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:UToronto_htrang"	"XREF"	75
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:DDD_tkuijpers"	"XREF"	8
<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	<https://orcid.org/0000-0001-7941-2961>	"XREF"	49
<http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym>	<https://orcid.org/0000-0002-5316-1399>	"XREF"	9
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-1089-1543>	"XREF"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-6647-5493>	"XREF"	2
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0001-5395-5036>	"CREATOR"	39
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-6548-5200>	"XREF"	1
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0003-4014-4490>	"CREATOR"	44
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0003-2897-0458>	"CREATOR"	56
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-3387-1836>	"XREF"	95
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-0692-412X>	"CREATOR"	19
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-3387-1836>	"CREATOR"	12
<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	<https://orcid.org/0000-0003-3777-1389>	"XREF"	38
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:Eurenomics_ewuehl"	"XREF"	30
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-0183-1637>	"CREATOR"	65
<http://www.w3.org/2000/01/rdf-schema#comment>	<https://orcid.org/0000-0001-5889-4463>	"XREF"	3
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:jdavis"	"XREF"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:GOC_MG"	"XREF"	11
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-9578-0788>	"XREF"	9
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:GC_HPE"	"XREF"	3
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:dfitzpatrick"	"XREF"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-0003-6754>	"XREF"	56
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:DDD_jcampbell"	"XREF"	1
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-2592-4715>	"CREATOR"	34
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0001-5835-5515>	"XREF"	4
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:vkumar"	"XREF"	3
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:UKT_rschuele"	"XREF"	4
