defined_class	defined_class_label	biological_process	biological_process_label	location	location_label
http://purl.obolibrary.org/obo/HP_0012391	Hyporeflexia of upper limbs	http://purl.obolibrary.org/obo/GO_0060004	reflex	http://purl.obolibrary.org/obo/UBERON_0010708	pectoral complex
http://purl.obolibrary.org/obo/HP_0007730	Iris hypopigmentation	http://purl.obolibrary.org/obo/GO_0043473	pigmentation	http://purl.obolibrary.org/obo/UBERON_0001769	iris
http://purl.obolibrary.org/obo/HP_0012392	Jaw hyporeflexia	http://purl.obolibrary.org/obo/GO_0060004	reflex	http://purl.obolibrary.org/obo/UBERON_0011648	jaw muscle
http://purl.obolibrary.org/obo/HP_0004043	Lytic defects of ulnar metaphysis	http://purl.obolibrary.org/obo/GO_0045453	bone resorption	http://purl.obolibrary.org/obo/UBERON_0013748	ulnar metaphysis
http://purl.obolibrary.org/obo/HP_0007988	Macular hypopigmentation	http://purl.obolibrary.org/obo/GO_0043473	pigmentation	http://purl.obolibrary.org/obo/UBERON_0000053	macula lutea
http://purl.obolibrary.org/obo/HP_0001504	Metacarpal osteolysis	http://purl.obolibrary.org/obo/GO_0045453	bone resorption	http://purl.obolibrary.org/obo/UBERON_0002374	metacarpal bone
http://purl.obolibrary.org/obo/HP_0006378	Osteolysis of patellae	http://purl.obolibrary.org/obo/GO_0045453	bone resorption	http://purl.obolibrary.org/obo/UBERON_0002446	patella
http://purl.obolibrary.org/obo/HP_0006202	Osteolysis of scaphoids	http://purl.obolibrary.org/obo/GO_0045453	bone resorption	http://purl.obolibrary.org/obo/UBERON_0001427	radiale
http://purl.obolibrary.org/obo/HP_0008095	Osteolysis of talus	http://purl.obolibrary.org/obo/GO_0045453	bone resorption	http://purl.obolibrary.org/obo/UBERON_0002395	talus
http://purl.obolibrary.org/obo/HP_0009645	Osteolytic defect of the distal phalanx of the thumb	http://purl.obolibrary.org/obo/GO_0045453	bone resorption	http://purl.obolibrary.org/obo/UBERON_0004337	distal phalanx of manual digit 1
http://purl.obolibrary.org/obo/HP_0009633	Osteolytic defect of the proximal phalanx of the thumb	http://purl.obolibrary.org/obo/GO_0045453	bone resorption	http://purl.obolibrary.org/obo/UBERON_0004338	proximal phalanx of manual digit 1
